QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
"<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public addAttribute( String, String ): void","addAttribute( String, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,2,3,3
<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public addChild( Configuration ): void,addChild( Configuration ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
"<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public addMessage( String, String ): void","addMessage( String, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1
<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public getAttribute( String ): String,getAttribute( String ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,1,2,3
<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public getAttributeNames( ): String,getAttributeNames( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,3,1
<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public getChildren( ): Configuration,getChildren( ): Configuration,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,2,2
<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public getMessages( ): ImmutableMap,getMessages( ): ImmutableMap,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public getName( ): String,getName( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.puppycrawl.tools.checkstyle.DefaultConfiguration.public removeChild( Configuration ): void,removeChild( Configuration ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Field>com.puppycrawl.tools.checkstyle.DefaultConfiguration->attributeMap,final attributeMap : Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.DefaultConfiguration->children,final children : List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.DefaultConfiguration->messages,final messages : Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.DefaultConfiguration->name,final name : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.DefaultConfiguration->serialVersionUID,static final serialVersionUID : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.puppycrawl.tools.checkstyle.DefaultContext,DefaultContext,low,low,low,low,2,7,4,1,0,3,10,8,1,0,3,0,0,0,0.333,0,0,0,,,,,10,,,,,,3,,,,,,,
"<Method>com.puppycrawl.tools.checkstyle.DefaultContext.public add( String, Object ): void","add( String, Object ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1
